#
#    First two columns are Eta range.
#    Next 2 columns are PT range.
#    Column 5 & 6 shows the efficiency in data and statistical error.
#    Column 7 & 8 shows the efficiency in MC and statistical error.
#    Column 9 shows the systematics uncertainty because of changing background PDF.
#    Column 10 shows the systematics uncertainty because of changing signal PDF.
#    Column 11 - systematics after changing the NLO and MC sample.
#    Column 12 - systematics because of alternate tag selection.
#
#
#
#
-2.500	-2.000	10.000	25.000	0.265	0.011	0.295	0.002	0.006	0.002	0.001	0.005
-2.000	-1.566	10.000	25.000	0.188	0.011	0.332	0.002	0.001	0.001	0.009	0.012
-1.566	-1.444	10.000	25.000	0.155	0.029	0.202	0.004	0.004	0.001	0.001	0.001
-1.444	-0.800	10.000	25.000	0.406	0.010	0.370	0.002	0.006	0.003	0.006	0.008
-0.800	0.000	10.000	25.000	0.421	0.011	0.421	0.002	0.011	0.005	0.002	0.013
0.000	0.800	10.000	25.000	0.431	0.011	0.422	0.002	0.011	0.003	0.004	0.003
0.800	1.444	10.000	25.000	0.364	0.015	0.369	0.002	0.004	0.003	0.005	0.003
1.444	1.566	10.000	25.000	0.145	0.025	0.193	0.004	0.007	0.010	0.027	0.008
1.566	2.000	10.000	25.000	0.188	0.009	0.322	0.002	0.003	0.001	0.004	0.002
2.000	2.500	10.000	25.000	0.266	0.011	0.320	0.002	0.003	0.001	0.013	0.001
-2.500	-2.000	25.000	40.000	0.435	0.006	0.518	0.001	0.004	0.002	0.000	0.005
-2.000	-1.566	25.000	40.000	0.360	0.008	0.544	0.001	0.001	0.009	0.006	0.004
-1.566	-1.444	25.000	40.000	0.318	0.014	0.382	0.003	0.004	0.019	0.003	0.001
-1.444	-0.800	25.000	40.000	0.576	0.005	0.588	0.001	0.006	0.006	0.004	0.003
-0.800	0.000	25.000	40.000	0.609	0.004	0.629	0.001	0.007	0.004	0.005	0.004
0.000	0.800	25.000	40.000	0.621	0.003	0.628	0.001	0.007	0.002	0.005	0.004
0.800	1.444	25.000	40.000	0.571	0.005	0.591	0.001	0.009	0.007	0.004	0.003
1.444	1.566	25.000	40.000	0.300	0.011	0.378	0.002	0.001	0.012	0.009	0.010
1.566	2.000	25.000	40.000	0.366	0.005	0.544	0.001	0.001	0.014	0.005	0.001
2.000	2.500	25.000	40.000	0.466	0.007	0.548	0.001	0.012	0.004	0.002	0.001
-2.500	-2.000	40.000	2000	0.535	0.007	0.633	0.001	0.000	0.005	0.001	0.001
-2.000	-1.566	40.000	2000	0.483	0.005	0.657	0.001	0.000	0.006	0.003	0.001
-1.566	-1.444	40.000	2000	0.437	0.125	0.548	0.002	0.002	0.007	0.001	0.011
-1.444	-0.800	40.000	2000	0.702	0.003	0.715	0.001	0.001	0.005	0.007	0.002
-0.800	0.000	40.000	2000	0.724	0.093	0.744	0.001	0.001	0.007	0.000	0.000
0.000	0.800	40.000	2000	0.728	0.002	0.739	0.001	0.003	0.010	0.000	0.001
0.800	1.444	40.000	2000	0.704	0.003	0.719	0.001	0.002	0.009	0.003	0.002
1.444	1.566	40.000	2000	0.463	0.011	0.551	0.002	0.001	0.009	0.007	0.005
1.566	2.000	40.000	2000	0.498	0.005	0.661	0.001	0.001	0.006	0.003	0.002
2.000	2.500	40.000	2000	0.561	0.007	0.655	0.001	0.002	0.004	0.001	0.002
