cMVAv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ttbar, central, 1, -2.4, 2.4, 30, 600, 0, 1, "0.976111+(-(4.37632e-05*x))" 
0, ttbar, central, 0, -2.4, 2.4, 30, 600, 0, 1, "0.976111+(-(4.37632e-05*x))" 
0, ttbar, down, 1, -2.4, 2.4, 30, 50, 0, 1, "0.976111+((-(4.37632e-05*x))-0.040088377892971039)" 
0, ttbar, down, 1, -2.4, 2.4, 50, 70, 0, 1, "0.976111+((-(4.37632e-05*x))-0.031489051878452301)" 
0, ttbar, down, 1, -2.4, 2.4, 70, 100, 0, 1, "0.976111+((-(4.37632e-05*x))-0.029133280739188194)" 
0, ttbar, down, 1, -2.4, 2.4, 100, 140, 0, 1, "0.976111+((-(4.37632e-05*x))-0.026893073692917824)" 
0, ttbar, down, 1, -2.4, 2.4, 140, 200, 0, 1, "0.976111+((-(4.37632e-05*x))-0.028560897335410118)" 
0, ttbar, down, 1, -2.4, 2.4, 200, 300, 0, 1, "0.976111+((-(4.37632e-05*x))-0.037686444818973541)" 
0, ttbar, down, 1, -2.4, 2.4, 300, 600, 0, 1, "0.976111+((-(4.37632e-05*x))-0.10688923299312592)" 
0, ttbar, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.976111+((-(4.37632e-05*x))-0.016035351902246475)" 
0, ttbar, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.976111+((-(4.37632e-05*x))-0.012595620006322861)" 
0, ttbar, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.976111+((-(4.37632e-05*x))-0.011653312481939793)" 
0, ttbar, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.976111+((-(4.37632e-05*x))-0.010757229290902615)" 
0, ttbar, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.976111+((-(4.37632e-05*x))-0.011424358934164047)" 
0, ttbar, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.976111+((-(4.37632e-05*x))-0.015074577182531357)" 
0, ttbar, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.976111+((-(4.37632e-05*x))-0.042755693197250366)" 
0, ttbar, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.976111+(-(4.37632e-05*x)))+0.040088377892971039" 
0, ttbar, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.976111+(-(4.37632e-05*x)))+0.031489051878452301" 
0, ttbar, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.976111+(-(4.37632e-05*x)))+0.029133280739188194" 
0, ttbar, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.976111+(-(4.37632e-05*x)))+0.026893073692917824" 
0, ttbar, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.976111+(-(4.37632e-05*x)))+0.028560897335410118" 
0, ttbar, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.976111+(-(4.37632e-05*x)))+0.037686444818973541" 
0, ttbar, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.976111+(-(4.37632e-05*x)))+0.10688923299312592" 
0, ttbar, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.976111+(-(4.37632e-05*x)))+0.016035351902246475" 
0, ttbar, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.976111+(-(4.37632e-05*x)))+0.012595620006322861" 
0, ttbar, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.976111+(-(4.37632e-05*x)))+0.011653312481939793" 
0, ttbar, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.976111+(-(4.37632e-05*x)))+0.010757229290902615" 
0, ttbar, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.976111+(-(4.37632e-05*x)))+0.011424358934164047" 
0, ttbar, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.976111+(-(4.37632e-05*x)))+0.015074577182531357" 
0, ttbar, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.976111+(-(4.37632e-05*x)))+0.042755693197250366" 
1, ttbar, central, 1, -2.4, 2.4, 30, 600, 0, 1, "0.600657*((1.+(0.753343*x))/(1.+(0.472587*x)))" 
1, ttbar, central, 0, -2.4, 2.4, 30, 600, 0, 1, "0.600657*((1.+(0.753343*x))/(1.+(0.472587*x)))" 
1, ttbar, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))-0.050325162708759308" 
1, ttbar, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))-0.040184732526540756" 
1, ttbar, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))-0.038563620299100876" 
1, ttbar, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))-0.035585206001996994" 
1, ttbar, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))-0.036252163350582123" 
1, ttbar, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))-0.050993449985980988" 
1, ttbar, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))-0.20449219644069672" 
1, ttbar, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))-0.016775054857134819" 
1, ttbar, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))-0.013394910842180252" 
1, ttbar, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))-0.012854539789259434" 
1, ttbar, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))-0.01186173502355814" 
1, ttbar, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))-0.012084054760634899" 
1, ttbar, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))-0.016997816041111946" 
1, ttbar, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))-0.068164065480232239" 
1, ttbar, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))+0.050325162708759308" 
1, ttbar, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))+0.040184732526540756" 
1, ttbar, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))+0.038563620299100876" 
1, ttbar, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))+0.035585206001996994" 
1, ttbar, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))+0.036252163350582123" 
1, ttbar, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))+0.050993449985980988" 
1, ttbar, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))+0.20449219644069672" 
1, ttbar, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))+0.016775054857134819" 
1, ttbar, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))+0.013394910842180252" 
1, ttbar, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))+0.012854539789259434" 
1, ttbar, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))+0.01186173502355814" 
1, ttbar, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))+0.012084054760634899" 
1, ttbar, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))+0.016997816041111946" 
1, ttbar, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.600657*((1.+(0.753343*x))/(1.+(0.472587*x))))+0.068164065480232239" 
2, ttbar, central, 1, -2.4, 2.4, 30, 600, 0, 1, "0.517971*((1.+(0.332528*x))/(1.+(0.174914*x)))" 
2, ttbar, central, 0, -2.4, 2.4, 30, 600, 0, 1, "0.517971*((1.+(0.332528*x))/(1.+(0.174914*x)))" 
2, ttbar, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))-0.066097885370254517" 
2, ttbar, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))-0.051307562738656998" 
2, ttbar, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))-0.047675304114818573" 
2, ttbar, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))-0.045250937342643738" 
2, ttbar, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))-0.057451527565717697" 
2, ttbar, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))-0.080152168869972229" 
2, ttbar, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))-0.32850414514541626" 
2, ttbar, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))-0.018885109573602676" 
2, ttbar, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))-0.014659303240478039" 
2, ttbar, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))-0.013621515594422817" 
2, ttbar, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))-0.012928839772939682" 
2, ttbar, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))-0.016414722427725792" 
2, ttbar, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))-0.022900618612766266" 
2, ttbar, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))-0.093858323991298676" 
2, ttbar, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))+0.066097885370254517" 
2, ttbar, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))+0.051307562738656998" 
2, ttbar, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))+0.047675304114818573" 
2, ttbar, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))+0.045250937342643738" 
2, ttbar, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))+0.057451527565717697" 
2, ttbar, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))+0.080152168869972229" 
2, ttbar, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))+0.32850414514541626" 
2, ttbar, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))+0.018885109573602676" 
2, ttbar, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))+0.014659303240478039" 
2, ttbar, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))+0.013621515594422817" 
2, ttbar, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))+0.012928839772939682" 
2, ttbar, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))+0.016414722427725792" 
2, ttbar, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))+0.022900618612766266" 
2, ttbar, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.517971*((1.+(0.332528*x))/(1.+(0.174914*x))))+0.093858323991298676" 
0, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "0.945437+0.000448019*x+-2.37485e-07*x*x+3.48797/x" 
0, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(0.945437+0.000448019*x+-2.37485e-07*x*x+3.48797/x)*(1-(0.0546383+2.1606e-05*x+-3.0679e-08*x*x))" 
0, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.945437+0.000448019*x+-2.37485e-07*x*x+3.48797/x)*(1-(0.0419514+2.70554e-05*x+-3.84515e-08*x*x))" 
0, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.945437+0.000448019*x+-2.37485e-07*x*x+3.48797/x)*(1-(0.0348707))" 
0, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(0.945437+0.000448019*x+-2.37485e-07*x*x+3.48797/x)*(1+(0.0546383+2.1606e-05*x+-3.0679e-08*x*x))" 
0, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.945437+0.000448019*x+-2.37485e-07*x*x+3.48797/x)*(1+(0.0419514+2.70554e-05*x+-3.84515e-08*x*x))" 
0, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.945437+0.000448019*x+-2.37485e-07*x*x+3.48797/x)*(1+(0.0348707))" 
1, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.11046+-0.00042021*x+1.48012e-06*x*x+-8.44735e-10*x*x*x" 
1, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.11046+-0.00042021*x+1.48012e-06*x*x+-8.44735e-10*x*x*x)*(1-(0.109917+1.3062e-05*x+-1.85613e-08*x*x))" 
1, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.11046+-0.00042021*x+1.48012e-06*x*x+-8.44735e-10*x*x*x)*(1-(0.0835874+1.04246e-05*x+-1.97072e-08*x*x))" 
1, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.11046+-0.00042021*x+1.48012e-06*x*x+-8.44735e-10*x*x*x)*(1-(0.0739671))" 
1, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.11046+-0.00042021*x+1.48012e-06*x*x+-8.44735e-10*x*x*x)*(1+(0.109917+1.3062e-05*x+-1.85613e-08*x*x))" 
1, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.11046+-0.00042021*x+1.48012e-06*x*x+-8.44735e-10*x*x*x)*(1+(0.0835874+1.04246e-05*x+-1.97072e-08*x*x))" 
1, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.11046+-0.00042021*x+1.48012e-06*x*x+-8.44735e-10*x*x*x)*(1+(0.0739671))" 
2, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "0.985864+122.8/(x*x)+0.000416939*x" 
2, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(0.985864+122.8/(x*x)+0.000416939*x)*(1-(0.253674+-0.000127486*x+8.91567e-08*x*x))" 
2, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.985864+122.8/(x*x)+0.000416939*x)*(1-(0.182557+-0.000191116*x+1.28751e-07*x*x))" 
2, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.985864+122.8/(x*x)+0.000416939*x)*(1-(0.177346))" 
2, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(0.985864+122.8/(x*x)+0.000416939*x)*(1+(0.253674+-0.000127486*x+8.91567e-08*x*x))" 
2, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.985864+122.8/(x*x)+0.000416939*x)*(1+(0.182557+-0.000191116*x+1.28751e-07*x*x))" 
2, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.985864+122.8/(x*x)+0.000416939*x)*(1+(0.177346))" 
3, iterativefit, central, 1, 0.0, 2.4, 20.0, 10000, -15, 1.1, "1.0"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -1.1, -0.90455, "1.12866"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.90455, -0.69375, "1.31595+0.215412*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.69375, -0.50235, "0.910784+-0.368616*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.50235, -0.33035, "1.15547+0.118465*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.33035, -0.15845, "0.950126+-0.503127*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.15845, 0.01345, "1.1261+0.60747*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.01345, 0.18535, "1.14505+-0.801122*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.18535, 0.35725, "1.06396+-0.363656*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.35725, 0.4932, "0.917864+0.0452925*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.4932, 0.5932, "0.769251+0.346617*x"
